Unnamed: 0,0,1,2,3,4,5,6,7
5,"REDMI 12C (Lavender Purple, 64 GB)","4.21,774 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,,"₹8,999₹13,99935% offFree deliveryBank Offer"
6,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","4.31,18,464 Ratings & 8,488 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,1 Year on Handset And 6 Months on Accessories,"₹8,999₹11,99925% offFree deliveryUpto ₹8,450 Off on ExchangeBank Offer"
7,"REDMI A1+ (Black, 32 GB)","4.110,464 Ratings & 500 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹8,499₹10,99922% offFree deliveryUpto ₹7,950 Off on ExchangeBank Offer"
8,Cellecor C9+,4.111 Ratings & 0 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty,,"₹949₹1,34929% offFree deliveryBank Offer"
9,Nokia 110 (2023),4.118 Ratings & 0 Reviews,4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,0.2MP Rear Camera,1000 mAh Battery,,"₹2,039₹2,0992% offFree deliveryBank Offer"
10,itel Power 200| 2500 mAh battery| Expandable Storage upto 32GB,3.511 Ratings & 0 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,2500 mAh Battery,,"₹1,349₹1,74922% offFree deliveryDaily SaverBank Offer"
11,LAVA Spark i8 Dual Tone,"4.17,275 Ratings & 820 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display,1.3MP Rear Camera,1200 mAh Battery,,"₹1,699₹1,99915% offFree deliveryBank Offer"
12,LAVA Spark i8,"4.17,275 Ratings & 820 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display,1.3MP Rear Camera,1200 mAh Battery,,"₹1,890₹1,899Free deliveryBank Offer"
13,LAVA Spark i8,"3.94,460 Ratings & 539 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display,1.3MP Rear Camera,1200 mAh Battery,,"₹1,849₹1,8992% offFree deliveryBank Offer"
14,MarQ by Flipkart M70 Shakti,"3.34,543 Ratings & 358 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,3000 mAh Li-ion Battery,,"₹1,599Free deliveryUpto ₹1,050 Off on ExchangeBank Offer"
15,Snexian Guru 106,3.7409 Ratings & 30 Reviews,32 MB RAM | 32 MB ROM,449.58 cm (177 inch) Display,1MP Rear Camera,850 mAh Battery,,"₹699₹1,49953% offFree deliveryBank Offer"
16,Jmax J32,4.315 Ratings & 0 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,2MP Rear Camera,1050 mAh Battery,,"₹699₹1,19941% offFree deliveryBank Offer"
17,"itel S23 (Mystery White, 128 GB)",4.3192 Ratings & 19 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹8,499₹9,49910% offFree deliveryBank Offer"
18,"Tecno Camon 20 (Glacier Glow, 256 GB)","4.22,124 Ratings & 134 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP Rear Camera,5000 mAh Battery,,"₹14,998₹17,99916% offFree deliveryBank Offer"
19,"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)",4.99 Ratings & 6 Reviews,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,12MP Rear Camera | 32MP Front Camera,4500 mAh Battery,,"₹26,795₹62,72557% offFree deliveryNo Cost EMI from ₹4,466/monthBank Offer"
20,Jmax Super 2,3.7190 Ratings & 24 Reviews,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1100 mAh Battery,,"₹759₹1,29941% offFree deliveryBank Offer"
21,"Nokia C32 (Beach Pink, 128 GB)",445 Ratings & 5 Reviews,4 GB RAM | 128 GB ROM,16.55 cm (6.517 inch) Display,50MP Rear Camera | 2MP Front Camera,5000 mAh Battery,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,"₹9,999₹10,9999% offFree deliveryBank Offer"
22,"itel P40 (Dreamy Blue, 32 GB)",4.99 Ratings & 6 Reviews,3 GB RAM | 32 GB ROM,16.76 cm (6.6 inch) Display,13MP Rear Camera,6000 mAh Battery,,"₹6,598₹8,29920% offFree deliveryBank Offer"
0,"realme Narzo 60 5G (Mars Orange, 128 GB)",4.1116 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,5000 mAh Battery,,"₹18,255₹19,9998% offFree deliveryBank Offer"
1,"LAVA Z2 (Aqua Blue, 32 GB)",4.2264 Ratings & 42 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.55 cm (6.517 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Li-Polymer Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,"₹5,990₹8,49929% offFree deliveryBank Offer"
2,"APPLE iPhone 14 Plus (Purple, 128 GB)","4.614,064 Ratings & 848 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",,"₹77,999₹89,90013% offFree deliveryDaily SaverUpto ₹61,000 Off on Exchange"
3,Good One 5026,"3.91,508 Ratings & 310 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,2MP Rear Camera,2500 mAh Battery,,"₹989₹1,99950% offFree deliveryBank Offer"
4,itel U30 keypad Mobile|1200 mAh battery|Expandable Storage Upto 32GB,"4.46,496 Ratings & 231 Reviews",32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1200 mAh Battery,,"₹1,249Free deliveryBank Offer"
5,"realme C30s (Royal Blue, 32 GB)","49,007 Ratings & 582 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹7,349₹9,99926% offFree deliveryDaily SaverBank Offer"
6,Kechaoda K33,"49,007 Ratings & 582 Reviews",32 MB RAM | 32 MB ROM,3.56 cm (1.4 inch) Display,0.3MP Rear Camera,800 mAh Battery,,"₹1,110₹1,44223% offFree deliveryBank Offer"
7,Kechaoda K33,"41,772 Ratings & 121 Reviews",32 MB RAM | 32 MB ROM,3.56 cm (1.4 inch) Display,0.3MP Rear Camera,800 mAh Battery,,"₹1,110₹1,42121% offFree deliveryBank Offer"
8,Nokia 2660 DS 4G Flip,4.2292 Ratings & 12 Reviews,128 MB RAM | 48 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,,"₹4,999₹5,59910% offFree deliveryDaily SaverBank Offer"
9,"realme Narzo 50i Prime (Dark Blue, 32 GB)",4.1476 Ratings & 23 Reviews,3 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹7,990₹8,99911% offFree deliveryHot DealBank Offer"
10,"Tecno Pova 3 (Eco Black, 128 GB)","4.11,424 Ratings & 134 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.53 cm (6.9 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,7000 mAh Battery,"One Year Warranty for Handset, 6 Months for Accessories","₹13,999₹15,99912% offFree deliveryBank Offer"
11,Kechaoda K60,"4.243,978 Ratings & 2,857 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera | 0.3MP Front Camera,3600 mAh Battery,,"₹1,797₹1,99910% offFree deliveryBank Offer"
12,"REDMI 10 (Caribbean Green, 128 GB)","4.411,472 Ratings & 922 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹12,999₹16,99923% offFree deliveryBank Offer"
13,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)","3.34,543 Ratings & 358 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera | 32MP Front Camera,4500 mAh Battery,,"₹28,990₹28,999Free deliveryBank Offer"
14,Snexian GURU 106,"4.51,12,002 Ratings & 12,429 Reviews",32 MB RAM | 32 MB ROM,449.58 cm (177 inch) Display,1MP Rear Camera,850 mAh Battery,,"₹699₹1,44951% offFree deliveryBank Offer"
15,"realme XT (Pearl White, 64 GB)","3.914,674 Ratings & 938 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,FHD+ Super AMOLED Display,"₹16,910₹16,999Free deliveryBank Offer"
16,Kechaoda K10,"4.56,055 Ratings & 544 Reviews",32 MB RAM | 32 MB ROM,1.68 cm (0.66 inch) NA Display,300 mAh Battery,1 Year Manufacturer Warranty,,"₹1,080₹1,29016% offFree deliveryBank Offer"
17,LAVA A1 josh bol,3.8203 Ratings & 31 Reviews,1 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) NA Display,1000 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,"₹1,079₹1,39922% offFree deliveryBank Offer"
18,"OnePlus 11R 5G (Sonic Black, 128 GB)","4.46,496 Ratings & 231 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,"₹39,398₹39,9991% offFree deliveryNo Cost EMI from ₹6,567/monthBank Offer"
19,itel MagicX Play 4G| 1900 mAh battery| Expandable Storage upto 64GB,3.568 Ratings & 2 Reviews,48 MB RAM | 128 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1900 mAh Battery,,"₹2,145₹2,69920% offFree deliveryBank Offer"
