maker,product_name,color,num_reviews,ratings_new,num_ratings_new,RAM(GB),ROM(GB),Expandable_ROM(GB),Display_Size(cm),Display_type,Rear_Camera(MB),Front_Camera(MB),Battery_Backup(mAh),Price(₹),Rear_Dual_Camera
MOTOROLA,G62,Frosted Blue,1864,4.1,21196,8,128,0,41.94,Full HD+ Display,50,16 ,5000,15999,0
REDMI,11,Flashy Black,450,4.4,9151,6,128,512,16.71,Full HD+ Display,50,8 ,5000,10999,0
SAMSUNG,Galaxy,Dark Blue,285,4.1,4719,4,64,1024,16.51,HD+ Display,13,5 ,5000,8072,0
SAMSUNG,Galaxy,Smoky Teal,166,4.2,2320,6,128,0,16.76,Display,50,0,6000,15015,0
SAMSUNG,Galaxy,Waterfall Blue,9457,4.3,165251,4,64,1024,16.76,Full HD+ Display,50,8 ,6000,10999,0
SAMSUNG,Galaxy,Nightsky Green,9457,4.3,165251,4,64,1024,16.76,Full HD+ Display,50,8 ,6000,10999,0
Nokia,105,0,157,4,2134,0.03125,0.03125,0,4.5,Display,0,0 ,1000,1549,0
Nokia,105,0,157,4,2134,0.03125,0.03125,0,4.5,Display,0,0 ,1000,1299,0
Nokia,105,0,157,4,2134,0.03125,0.03125,0,4.5,Display,0,0 ,1000,1299,0
SAMSUNG,Galaxy,Jade Purple,2147,4.2,37930,4,64,1024,16.51,HD Display,13,5 ,5000,8499,0
LAVA,A1,0,20,4.0,196,0.00390625,0.00390625,32,4.5,Quarter QVGA Display,0,0,0,1039,0
realme,C55,Rainforest,1217,4.4,21770,8,128,1024,17.07,Full HD+ Display,64,8 ,5000,13999,0
Nokia,105,0,7342,4.3,80183,0.00390625,0.00390625,0,4.57,Quarter QVGA Display,0,0,0,1549,0
realme,C55,Rainforest,851,4.3,13100,6,64,1024,17.07,Full HD+ Display,64,8 ,5000,11999,0
Micromax,J22,0,149,3.9,2516,0.03125,0.03125,0,6.1,Display,0,0,0,1067,0
REDMI,A1+,Black,398,4.2,9704,2,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
realme,C55,Rainforest,3922,4.4,68511,4,64,1024,17.07,Full HD+ Display,64,8 ,5000,10999,0
realme,C53,Champion Black,229,4.2,2548,4,128,2048,17.12,HD Display,108,8 ,5000,9999,0
Micromax,X512,0,85,4,1301,0.029296875,0.0234375,0,4.5,Display,0,0,0,997,0
REDMI,11,Peppy Purple,450,4.4,9151,6,128,512,16.71,Full HD+ Display,50,8 ,5000,10999,0
SAMSUNG,Galaxy,OMG Black,2272,4.2,29399,6,128,1024,16.76,Full HD+ Display,50,13 ,6000,14990,0
POCO,M5,Yellow,1424,4.1,16887,4,64,512,16.71,Full HD+ Display,50,8 ,5000,8499,0
Micromax,J22,0,149,3.9,2516,0.03125,0.03125,0,6.1,Display,0,0,0,1137,0
MOTOROLA,e13,Cosmic Black,392,4,4490,2,64,1024,16.51,HD+ Display,13,5 ,5000,6499,0
Infinix,HOT,Aurora Green,1478,4.4,29072,4,64,256,17.32,HD+ Display,0,8 ,6000,7999,0
MOTOROLA,g73,Midnight Blue,2888,4.0,23948,8,128,1024,16.51,Full HD+ Display,50,16 ,5000,16999,0
SAMSUNG,Galaxy,Sunrise Copper,9457,4.3,165251,4,64,1024,16.76,Full HD+ Display,50,8 ,6000,10999,0
POCO,M5,Power Black,442,4.2,6724,6,128,512,16.71,Full HD+ Display,50,8 ,5000,10499,0
Infinix,HOT,Fantasy Purple,1478,4.4,29072,4,64,256,17.32,HD+ Display,0,8 ,6000,7999,0
POCO,X5,Jaguar Black,1273,4.2,16671,6,128,1024,16.94,Full HD+ Display,48,13 ,5000,15999,0
realme,C55,Sunshower,3922,4.4,68511,4,64,1024,17.07,Full HD+ Display,64,8 ,5000,10999,0
realme,C55,Sunshower,1217,4.4,21770,8,128,1024,17.07,Full HD+ Display,64,8 ,5000,13999,0
realme,C55,Rainy Night,3922,4.4,68511,4,64,1024,17.07,Full HD+ Display,64,8 ,5000,10999,0
POCO,M5,Icy Blue,442,4.2,6724,6,128,512,16.71,Full HD+ Display,50,8 ,5000,10499,0
MOTOROLA,G32,Rose Gold,3656,4.1,42361,8,128,0,16.51,Full HD+ Display,50,16 ,5000,11999,0
realme,C55,Rainy Night,1217,4.4,21770,8,128,1024,17.07,Full HD+ Display,64,8 ,5000,13999,0
realme,C30,Denim Black,5706,4.2,107613,2,32,1024,16.51,HD+ Display,8,5 ,5000,5999,0
Infinix,HOT,Luna Blue,1478,4.4,29072,4,64,256,17.32,HD+ Display,0,8 ,6000,7999,0
Infinix,Note,Sunset Gold,185,4.1,1611,4,128,2048,17.22,Full HD+ Display,0,16 ,5000,14999,0
realme,10,Rush Black,551,4.3,7800,8,128,1024,16.26,Full HD+ Display,50,16 ,5000,14999,0
GFive,U220i,0,76,3.3,816,0.03125,0.03125,16,4.57,Display,3,0,1000,699,0
realme,10,Clash White,551,4.3,7800,8,128,1024,16.26,Full HD+ Display,50,16 ,5000,14999,0
realme,10,Rush Black,1428,4.2,17953,4,64,1024,16.26,Full HD+ Display,50,16 ,5000,11499,0
POCO,C50,Royal Blue,1098,4.0,17413,3,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
REDMI,11,Playful Green,450,4.4,9151,6,128,512,16.71,Full HD+ Display,50,8 ,5000,10999,0
realme,C30,Denim Black,3807,4.1,63219,3,32,1024,16.51,HD+ Display,8,5 ,5000,6499,0
realme,C55,Rainy Night,857,4.3,13184,6,64,1024,17.07,Full HD+ Display,64,8 ,5000,11999,0
realme,C55,Sunshower,857,4.3,13184,6,64,1024,17.07,Full HD+ Display,64,8 ,5000,11999,0
realme,C30,Lake Blue,3807,4.1,63219,3,32,1024,16.51,HD+ Display,8,5 ,5000,6499,0
